,address,location,AWB,names,product_id,lat,lng
0,"6, Shakambari Nagar, 1st stage, JP Nagar, Bangalore",JP Nagar,62201852038,Vickie Ramos,SKU_144,12.91345,77.57498
1,"1, 24th Main Rd, 1st Phase, Girinagar, KR Layout, Muneshwara T-Block, JP Nagar, Bangalore",JP Nagar,73350066683,Jon Hall,SKU_31,12.94022,77.53995
2,"954, 2nd Floor, 24th Main, 2nd Phase, Opposite LIC Building, JP Nagar, Bangalore",JP Nagar,60104333056,Linda Kurland,SKU_113,12.91275,77.58582
3,"1, 24th Main Rd, 1st Phase, Girinagar, KR Layout, Muneshwara T-Block, JP Nagar, Bangalore",JP Nagar,49726345575,Cora Massart,SKU_23,12.94022,77.53995
4,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore",JP Nagar,33178947349,George Rivas,SKU_144,12.90662,77.59663
5,"281, 2nd Floor, 15th Cross, 5th Phase, JP Nagar, Bangalore",JP Nagar,76031744666,Anna Kelly,SKU_38,12.86796,77.58457
6,"Cross Roads Inn, 827, Near RV Dental College Compound, 24th Main, 12th Cross, JP Nagar, Bangalore",JP Nagar,81926175607,Virginia Sauer,SKU_109,12.90826,77.61137
7,"21, 24th Main Road, 6th Phase, JP Nagar, Bangalore",JP Nagar,27632908686,Jesse Chan,SKU_141,12.90206,77.58585
8,"99/4, Nataraja Layout, 7th Phase, JP Nagar, Bangalore",JP Nagar,66314622688,Johnny Runyan,SKU_134,12.89096,77.5834
9,"72, 2nd Floor, Next to Max & Crossword, 3rd Phase, Inner Ring Road, JP Nagar, Bangalore",JP Nagar,83288941747,Yvonne Haddad,SKU_58,12.98276,77.60712
10,"Eden Park7, 8 Doresani Palya, Near Kalyani Magnum, Opposite Oracle, 5th Phase, JP Nagar, Bangalore",JP Nagar,36774055970,Frank Garcia,SKU_16,12.90012,77.59566
11,"Amoolya, 1st Floor, 24th Main, 6th Phase, JP Nagar, Bangalore",JP Nagar,49180403091,Ronnie Cameron,SKU_9,12.89986,77.58587
12,"47/1, 9th Main,1st Cross, Miniforest, Phase 3, JP Nagar, Bangalore",JP Nagar,65307617155,Teresa Ford,SKU_59,12.91054,77.59913
13,"The HHI Select Bengaluru Hotel, 686, 15th Cross, Ring Road, 2nd Phase, JP Nagar, Bangalore",JP Nagar,32162999926,Miguel Evanoff,SKU_44,12.90641,77.59292
14,"Quality Inn - Shravanthi, 60, 13th Cross, 2nd Main, 3rd Phase, JP Nagar, Bangalore",JP Nagar,67841310375,Brenda Berry,SKU_103,12.90756,77.59837
15,"5th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",JP Nagar,98072567575,Brian Glass,SKU_45,12.90445,77.59639
16,"57, 15th Cross Road, Outer Ring Road, Phase 6, JP Nagar, Bangalore",JP Nagar,81028594970,Daniel Moore,SKU_92,12.90611,77.59661
17,"97, Wilson Garden Housing Society, 7th Phase, JP Nagar, Bangalore",JP Nagar,72346908029,James Rego,SKU_13,12.88876,77.58247
18,"44-45, Terrace Floor, 24th Main Road, 7th phase, JP Nagar, Bangalore",JP Nagar,73908465584,Mildred Richards,SKU_98,12.8964,77.58617
19,"Amoolya, 1st Floor, 24th Main, 6th Phase, JP Nagar, Bangalore",JP Nagar,82980897770,Daren Devit,SKU_74,12.89986,77.58587
20,"8, 15th Main, 5th Phase, JP Nagar, Bangalore",JP Nagar,72031214940,Sarah Kardashian,SKU_138,12.87544,77.58334
21,"114, Kothanur Main Road, Santrupthi Nagar, 7th Phase, JP Nagar, Bangalore",JP Nagar,13346207178,Ryan Orlando,SKU_29,12.88557,77.58231
22,"Site 15, 15th Cross, 100 Feet Road, 4th Phase, JP Nagar, Bangalore",JP Nagar,66193906105,Gerard Cardin,SKU_96,12.90654,77.59849
23,"204, 4th Cross, KSRTC Layout, 2nd Phase, JP Nagar, Bangalore",JP Nagar,18834198685,Rebecca Vanos,SKU_56,12.89838,77.59681
24,"18, K.R Layout, Dollar Colony, 4th Phase, JP Nagar",JP Nagar,77357637627,Willie Matson,SKU_100,12.90258,77.59664
25,"Someshwara Bhavan, RBI Layout, 7th Phase, Kothnur Main Road, JP Nagar, Bangalore",JP Nagar,50570222462,Jason Taylor,SKU_95,12.89204,77.58057
26,"10/3, Shamanna Garden, 22nd Main Rd, Phase 5, JP Nagar, Bangalore",JP Nagar,86868052143,Mabel Covell,SKU_29,12.90281,77.58742
27,"296, Ground Floor, 5th Phase, 100 ft Outer Ring Road, JP Nagar, Bangalore",JP Nagar,60270106051,Martha Braun,SKU_103,12.92385,77.55291
28,"46/A, 1st Main, 3rd Phase, JP Nagar, Bangalore",JP Nagar,61686659900,James Riley,SKU_22,12.91118,77.59909
29,"Brigade Millenium Inside Indian Music Experience Museum, JP Nagar, Bangalore, Bengaluru",JP Nagar,69289578038,Elijah Reno,SKU_51,12.89186,77.58365
30,"81, 7th Main, 5th Cross, Bank of Baroda Colony, 7th Phase, JP Nagar, Bangalore",JP Nagar,71217404672,Lidia Wickham,SKU_58,12.89542,77.58466
31,"JP Nagar, Phase 7, Bangalore",JP Nagar,24549099395,Freda Beauchamp,SKU_40,12.88959,77.58371
32,"724, 3rd Floor, RBI Layout, Rini Pearl, Opposite E.K. Retail, 7th Phase, JP Nagar, Bangalore",JP Nagar,50581824353,Tim Sokol,SKU_125,12.88959,77.58371
33,"305, Anand NR Onyx, 15th Cross, 100 Feet Ring Road, 5th Phase Extension, JP Nagar, Bangalore",JP Nagar,52273090335,Antonio Oliver,SKU_7,12.91194,77.59952
34,"104/1, 21st Main Road, 6th Cross Road, R K Colony, JP Nagar 2nd Phase, Bangalore",JP Nagar,60730226124,Richard Book,SKU_147,12.91245,77.58785
