,Unnamed: 0,address,location,numbers,names,product_id,lat,lng
0,0,"1260, SY 35/4, SJR Tower's, 7th Phase, 24th Main, Puttanhalli, JP Nagar, Bangalore",JP Nagar,38815310522,Deanna Wendt,SKU_46,12.9156577,77.5994159
1,1,"1260, SY 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",JP Nagar,40834506264,Leah West,SKU_8,12.9070091,77.585678
2,2,"1260, SY 35/4, SJR Towers, 24th Main Puttanhalli, 7th Phase, JP Nagar, Bangalore",JP Nagar,85574853958,Lisa Pitts,SKU_54,12.898047,77.582824
3,3,"1260 SY 35/4 SJR Tower's, 24th Main Puttanhalli, JP Nagar 7th Phase, Bangalore",JP Nagar,75730852176,Jonathan Nelson,SKU_103,12.898047,77.582824
4,4,"915, 24th Main Road, 2nd Phase, Mayura Circle, JP Nagar, Bangalore",JP Nagar,65256560203,David Finn,SKU_148,12.9102386,77.5858962
5,5,"44, 3rd Cross, Marenahalli, 2nd Phase, JP Nagar, Bangalore",JP Nagar,13550952423,Mary Kirk,SKU_129,12.9135927,77.5873919
6,6,"2318, Sector 1, Near NIFT College, HSR, Bangalore",HSR,44350146864,Ruth Donaldson,SKU_80,12.9175337,77.65045719999999
7,7,"697, 12th Cross, 27th Main, 1st Sector, HSR, Bangalore",HSR,35688482050,Cecilia Henderson,SKU_88,12.916185,77.651424
8,8,"2334, Aarush Arcade, 17th Cross, 1st Sector, HSR, Bangalore",HSR,64727690316,Charles Shelley,SKU_79,12.9122542,77.63633109999999
9,9,"1659, 27th Main Road, Sector 2, HSR Layout, HSR, Bangalore",HSR,33739970099,Monica Troxler,SKU_39,12.908942,77.6464534
10,10,"31st Main, Near NIFT, Sector 1, HSR, Bangalore",HSR,70719650178,Barbara Baumberger,SKU_118,12.9114016,77.6535232
11,11,"2617, 27th Main, Sector 1, Opposite CPWD Complex, HSR, Bangalore",HSR,37256804721,Johnny Blake,SKU_29,12.9139942,77.65213330000002
12,12,"493, 13th Cross, 2nd Stage, Behind BDA Complex, Indiranagar, Bangalore",Indiranagar,98320322280,Kathryn Zuhlke,SKU_103,12.9773122,77.635937
13,13,"68, Appareddy Palya, Near ESI Hospital, HAL 2nd Stage, Double Road, Indiranagar, Bangalore",Indiranagar,19222028019,Russell Repp,SKU_47,12.9728579,77.63695440000001
14,14,"844, Binnamangala, 1st Stage, Near B.D.A Complex, Double Road, Indiranagar, Bangalore",Indiranagar,98618659069,Robert Davis,SKU_43,12.9730989,77.6359295
15,15,"3rd Cross, 2nd Stage, Domlur, Bangalore",Indiranagar,37317986613,Karen Turner,SKU_106,12.9609857,77.6387316
16,16,"322, Shalini Complex, CMH Road, Indiranagar, Bangalore",Indiranagar,87348538617,Albert Rosol,SKU_28,12.9783143,77.637585
17,17,"Ground Floor, Figure and Fitness Gym, ESI Hospital Road, Double Road, Stage 3, Indiranagar, Bangalore",Indiranagar,90135330114,Raymond May,SKU_131,12.9742497,77.6385779
18,18,"89/1, Monnekollal Village, Varthur Hobli, Outer Ring Road, Marathahalli, Bangalore",MTH,35278429230,Anna Parsons,SKU_11,12.956924,77.701127
19,19,"Outer Ring Road, Opposite to JP Morgan, Kodbisanhalli, Marathahalli, Bangalore",MTH,85641566876,Antwan Howell,SKU_65,12.9435238,77.6975202
20,20,"82/3, Third Floor, Khata 866, Panathur Main Road, Bhoganahalli Cross, Marathahalli, Bangalore",MTH,81893229584,Ruben Thompson,SKU_90,12.9887387,77.6822307
21,21,"Embassy Tech Square Food Court, Cessna Tech Park, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",MTH,59723146139,Melva Little,SKU_86,12.9394137,77.6952031
22,22,"19/4 & 27, Ground Floor, Indiqube Alpha, Panathur Junction, Kadubisanahalli, Sarjapur Outer Ring Road, Marathahalli, Bangalore",MTH,33192159992,Judy Epson,SKU_43,12.939411,77.6956204
23,23,"Shop 217, 2nd Main Road, Kadubeesanahalli Croma, Back Side Road, Near Kumbeshwara Temple Marathahalli, Bangalore",MTH,83760820881,Morris Delacruz,SKU_33,12.956924,77.701127
