,Unnamed: 0,address,AWB,names,product_id,EDD,lat,lng
0,0,"6, Shakambari Nagar, 1st stage, JP Nagar, Bangalore",62201852038,Vickie Ramos,SKU_144,8-02-2023,12.9120799,77.5745235
1,1,"1, 24th Main Rd, 1st Phase, Girinagar, KR Layout, Muneshwara T-Block, JP Nagar, Bangalore",73350066683,Jon Hall,SKU_31,09-02-2023,12.9414568,77.5461674
2,2,"954, 2nd Floor, 24th Main, 2nd Phase, Opposite LIC Building, JP Nagar, Bangalore",60104333056,Linda Kurland,SKU_113,09-02-2023,12.9115788,77.5857133
3,3,"1, 24th Main Rd, 1st Phase, Girinagar, KR Layout, Muneshwara T-Block, JP Nagar, Bangalore",49726345575,Cora Massart,SKU_23,8-02-2023,12.9414568,77.5461674
4,4,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore",33178947349,George Rivas,SKU_144,10-02-2023,12.906383,77.596713
5,5,"281, 2nd Floor, 15th Cross, 5th Phase, JP Nagar, Bangalore",76031744666,Anna Kelly,SKU_38,09-02-2023,12.9063958,77.5886106
6,6,"Cross Roads Inn, 827, Near RV Dental College Compound, 24th Main, 12th Cross, JP Nagar, Bangalore",81926175607,Virginia Sauer,SKU_109,09-02-2023,12.9113897,77.584992
7,7,"21, 24th Main Road, 6th Phase, JP Nagar, Bangalore",27632908686,Jesse Chan,SKU_141,10-02-2023,12.9029512,77.58562049999999
8,8,"99/4, Nataraja Layout, 7th Phase, JP Nagar, Bangalore",66314622688,Johnny Runyan,SKU_134,8-02-2023,12.8978624,77.58450839999999
9,9,"72, 2nd Floor, Next to Max & Crossword, 3rd Phase, Inner Ring Road, JP Nagar, Bangalore",83288941747,Yvonne Haddad,SKU_58,09-02-2023,12.9506526,77.6392151
10,10,"Eden Park7, 8 Doresani Palya, Near Kalyani Magnum, Opposite Oracle, 5th Phase, JP Nagar, Bangalore",36774055970,Frank Garcia,SKU_16,10-02-2023,12.901773,77.594978
11,11,"Amoolya, 1st Floor, 24th Main, 6th Phase, JP Nagar, Bangalore",49180403091,Ronnie Cameron,SKU_9,09-02-2023,12.9088826,77.5857567
12,12,"47/1, 9th Main,1st Cross, Miniforest, Phase 3, JP Nagar, Bangalore",65307617155,Teresa Ford,SKU_59,07-02-2023,12.916563,77.583568
13,13,"The HHI Select Bengaluru Hotel, 686, 15th Cross, Ring Road, 2nd Phase, JP Nagar, Bangalore",32162999926,Miguel Evanoff,SKU_44,8-02-2023,12.9065794,77.5929269
14,14,"Quality Inn - Shravanthi, 60, 13th Cross, 2nd Main, 3rd Phase, JP Nagar, Bangalore",67841310375,Brenda Berry,SKU_103,07-02-2023,12.907355,77.5985151
15,15,"5th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",98072567575,Brian Glass,SKU_45,09-02-2023,12.9066907,77.602318
16,16,"57, 15th Cross Road, Outer Ring Road, Phase 6, JP Nagar, Bangalore",81028594970,Daniel Moore,SKU_92,10-02-2023,12.9070991,77.5996462
17,17,"97, Wilson Garden Housing Society, 7th Phase, JP Nagar, Bangalore",72346908029,James Rego,SKU_13,8-02-2023,12.8978624,77.58450839999999
18,18,"44-45, Terrace Floor, 24th Main Road, 7th phase, JP Nagar, Bangalore",73908465584,Mildred Richards,SKU_98,8-02-2023,12.8982804,77.5858544
19,19,"Amoolya, 1st Floor, 24th Main, 6th Phase, JP Nagar, Bangalore",82980897770,Daren Devit,SKU_74,09-02-2023,12.9088826,77.5857567
20,20,"8, 15th Main, 5th Phase, JP Nagar, Bangalore",72031214940,Sarah Kardashian,SKU_138,07-02-2023,12.9033045,77.59173849999999
21,21,"114, Kothanur Main Road, Santrupthi Nagar, 7th Phase, JP Nagar, Bangalore",13346207178,Ryan Orlando,SKU_29,8-02-2023,12.8919779,77.5817794
22,22,"Site 15, 15th Cross, 100 Feet Road, 4th Phase, JP Nagar, Bangalore",66193906105,Gerard Cardin,SKU_96,10-02-2023,12.9061345,77.5968288
23,23,"204, 4th Cross, KSRTC Layout, 2nd Phase, JP Nagar, Bangalore",18834198685,Rebecca Vanos,SKU_56,09-02-2023,12.9127245,77.5958453
24,24,"18, K.R Layout, Dollar Colony, 4th Phase, JP Nagar",77357637627,Willie Matson,SKU_100,11-02-2023,12.9043079,77.5984654
25,25,"Someshwara Bhavan, RBI Layout, 7th Phase, Kothnur Main Road, JP Nagar, Bangalore",50570222462,Jason Taylor,SKU_95,11-02-2023,12.8838109,77.5829501
26,26,"10/3, Shamanna Garden, 22nd Main Rd, Phase 5, JP Nagar, Bangalore",86868052143,Mabel Covell,SKU_29,10-02-2023,12.9037401,77.5870418
27,27,"296, Ground Floor, 5th Phase, 100 ft Outer Ring Road, JP Nagar, Bangalore",60270106051,Martha Braun,SKU_103,10-02-2023,12.9715987,77.5945627
28,28,"46/A, 1st Main, 3rd Phase, JP Nagar, Bangalore",61686659900,James Riley,SKU_22,8-02-2023,12.9112119,77.599166
29,29,"Brigade Millenium Inside Indian Music Experience Museum, JP Nagar, Bangalore, Bengaluru",69289578038,Elijah Reno,SKU_51,09-02-2023,12.9063433,77.5856825
30,30,"81, 7th Main, 5th Cross, Bank of Baroda Colony, 7th Phase, JP Nagar, Bangalore",71217404672,Lidia Wickham,SKU_58,8-02-2023,12.9059478,77.6058923
31,31,"JP Nagar, Phase 7, Bangalore",24549099395,Freda Beauchamp,SKU_40,10-02-2023,12.8890015,77.573385
32,32,"724, 3rd Floor, RBI Layout, Rini Pearl, Opposite E.K. Retail, 7th Phase, JP Nagar, Bangalore",50581824353,Tim Sokol,SKU_125,8-02-2023,12.8917914,77.577754
33,33,"305, Anand NR Onyx, 15th Cross, 100 Feet Ring Road, 5th Phase Extension, JP Nagar, Bangalore",52273090335,Antonio Oliver,SKU_7,09-02-2023,12.9715987,77.5945627
34,34,"104/1, 21st Main Road, 6th Cross Road, R K Colony, JP Nagar 2nd Phase, Bangalore",60730226124,Richard Book,SKU_147,07-02-2023,13.020327,77.5575579
35,35,"1260 SY 35/4 SJR Tower's, 24th Main Puttanhalli, 7th Phase, JP Nagar Bangalore",38777880457,Karen Yuen,SKU_137,10-02-2023,12.898047,77.582824
36,36,"1260 SY 35/4 SJR Tower's, 24th Main Puttanhalli, JP Nagar 7th Phase, Bangalore",14876577908,John Fridley,SKU_21,09-02-2023,12.898047,77.582824
37,37,"1260, SY 35/4, SJR Towers, 24th Main Puttanhalli, 7th Phase, JP Nagar, Bangalore",15743308603,Louise Lynch,SKU_15,10-02-2023,12.898047,77.582824
38,38,"1260 SY 35/4 SJR Tower's, JP Nagar 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",96594637899,Sam Vest,SKU_83,8-02-2023,12.8938256,77.5812849
39,39,"1260, SY 35/4, SJR Towers, 24th Main Puttanhalli, 7th Phase, JP Nagar, Bangalore",75423501902,Doris Floyd,SKU_143,09-02-2023,12.898047,77.582824
40,40,"5th A Cross, Lakshmi Complex, Manjunatha Colony, Near RV Dental College, 2nd phase, JP Nagar, Bangalore",13385067871,Leticia Coleman,SKU_28,8-02-2023,12.9127901,77.5866573
41,41,"#35/4, 24th main JP Nagar 7th phase, Puttenahalli, JP Nagar, Bangalore",25281194232,Christine Pfeiff,SKU_117,10-02-2023,12.901013,77.586034
42,42,"99/2A, Kothnoor Main Road, Opposite RBI Layout Bus Stop, 7th Phase, JP Nagar, Bangalore",60615787248,William Rivera,SKU_77,09-02-2023,12.8824691,77.5832616
43,43,"77/1, 24th Main, 2nd Phase, JP Nagar, Bangalore",85830764356,John Dutton,SKU_144,8-02-2023,12.9158698,77.5860082
44,44,"18th Cross road, 5th Phase, JP Nagar, Bangalore",87207515803,Angela Cowman,SKU_59,07-02-2023,12.9032116,77.5877971
45,45,"1260, SY 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",62376246282,Edward Leon,SKU_123,8-02-2023,12.9070091,77.585678
46,46,"1260 SY 35/4 SJR Tower's, JP Nagar 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",34763837898,Michael Parenteau,SKU_141,09-02-2023,12.8938256,77.5812849
47,47,"Shop 1, 129, 24th Main, 5th Phase, JP Nagar, Bangalore",95782788535,Daniel Tremper,SKU_91,10-02-2023,12.9038753,77.58590679999999
48,48,"311, 15th Cross, 5th Phase, JP Nagar, Bangalore",92874070081,Thomas Lyons,SKU_18,8-02-2023,12.9061386,77.5929986
49,49,"Big Bazzar Building, JP Nagar, Bangalore",28090773455,Antoine Robertson,SKU_130,09-02-2023,12.8872242,77.58182599999999
50,50,"15, 7th Cross, Near Mother Teresa School, ITI Layout, Hosapalya Main Road, HSR, Bangalore",65216540873,Nathan Merkel,SKU_65,8-02-2023,12.8921504,77.6282442
51,51,"119/19, Ground Floor, 10th Cross, Venkateshwara Layout, SG Palya, HSR, Bangalore",30262250302,Jenna Reed,SKU_136,07-02-2023,12.9481544,77.5971734
52,52,"1554, Ground Floor, 19th Main, Sector 1, HSR, Bangalore",95752660397,William Wilson,SKU_9,8-02-2023,12.9136257,77.6446549
53,53,"7th Cross, Sector 1, HSR, Bangalore",30449400919,Bonnie Heath,SKU_91,10-02-2023,12.9194511,77.6487443
54,54,"27th Main road, Sriven Teesta, Near Raymond?s Showroom HSR, Bangalore",52917061849,Katrina Hilderbrandt,SKU_8,07-02-2023,12.910037,77.6516807
55,55,"2331, 17th Cross, 24th Main, HSR, Bangalore",41474085570,Terresa Breau,SKU_70,10-02-2023,12.9120766,77.6494981
56,56,"Shop 5, LNR Building, Harlur Road, HSR, Bangalore",74962568491,Carol Pettway,SKU_93,09-02-2023,12.9152352,77.6651986
57,57,"64&65, 27th Main Road, Sector 1, HSR Layout",33783112676,Glennie Delacruz,SKU_106,8-02-2023,12.9175337,77.65045719999999
58,58,"27th Main, Near NIFT, Sector-1, HSR, Bangalore",40837739535,Margie Galvan,SKU_76,8-02-2023,12.9119545,77.65262969999999
59,59,"2318, 27th Main Road, 1st Sector, HSR, Bangalore",42498449819,Kenneth Baker,SKU_82,8-02-2023,12.9175337,77.65045719999999
60,60,"569/4, Sector 1, HSR, Bangalore",14699928469,Lucille Keirstead,SKU_123,8-02-2023,12.9257303,77.6651649
61,61,"1554, Ground Floor, 19th Main, Sector - 1, HSR, Bangalore",54163870135,Tara Allen,SKU_47,09-02-2023,12.961331,77.57007399999999
62,62,"2733, 16th Cross, 27th Main, Opposite NIFT, Sector 1, HSR Layout, Bangalore, HSR, Bangalore",98967476662,Marshall Quinton,SKU_142,8-02-2023,12.912702,77.652479
63,63,"543, 7th Cross, 24th Main, Opposite Nous Info Systems, Sector 1, HSR, Bangalore",94332983235,Gustavo Bailey,SKU_117,10-02-2023,12.9196367,77.64947529999999
64,64,"13th Cross, 24th Main, Opposite Assetz Apartment, 1st Sector, HSR, Bangalore",21104565365,Kathleen Cantrell,SKU_76,07-02-2023,12.91615,77.6488823
65,65,"7th Cross Road, Agara Village, 1st Sector, HSR, Bangalore",78472305957,Donald Allen,SKU_139,8-02-2023,12.9194418,77.647291
66,66,"680-669, 13th Cross Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka",11910424508,Nanette Mcbride,SKU_89,10-02-2023,12.9159261,77.6497332
67,67,"2724, 31st Main, 17th Cross, HSR, Bangalore",89394948450,David Webber,SKU_42,11-02-2023,12.9126877,77.6532769
68,68,"1543, 7th Cross, 19th Main, 1st Sector, HSR, Bangalore",87898682349,Brian Isom,SKU_81,8-02-2023,12.9196402,77.64447919999999
69,69,"1214, 17th Cross Road, Parangi Palaya, Sector 2, HSR Layout, Bangalore",71466613736,Ralph Martin,SKU_59,07-02-2023,12.9121301,77.650205
70,70,"Basement 2064, Siri Iris Building, 24th Main, N.R.T.A Enclave, HSR, Bangalore",58089927559,Dana Farley,SKU_89,09-02-2023,12.9119138,77.6490398
71,71,"809/A, 27th Main, 100 Feet Road, 1st Sector, HSR, Bangalore",85539430303,Sherry Ludlam,SKU_50,8-02-2023,12.9243234,77.6480349
72,72,"Building 2686, 31 Main, 13 Cross, Sector 1, Behind CPWD Quarters, HSR Layout, HSR, Bangalore",85984892588,Amber Smith,SKU_147,8-02-2023,12.9146888,77.6539896
73,73,"191, Ground Floor, 27th Main Road, Near CPWD Quarters, Beside Lawrance & Mayo, Sector 2, HSR, Bangalore",53402748741,Juanita Pahulu,SKU_53,10-02-2023,12.9154587,77.64942789999999
74,74,"2633, 27th Main, 13th Cross, 1st Sector, Liss Arcade, HSR, Bangalore",49002247401,Mary Davis,SKU_13,11-02-2023,12.9154055,77.6321455
75,75,"1548, 19th Main, Outer Ring Road, Opposite BMTC Bus Depot, HSR, Bangalore",29805721561,Carma Haynie,SKU_41,11-02-2023,12.9202927,77.6451278
76,76,"2733, 16th Cross, 27th Main Road, Oppsite, NIFT College, 1st Sector, HSR Layout, Bangalore",84618864102,Daniel Miller,SKU_119,09-02-2023,12.9175337,77.65045719999999
77,77,"2610, 27th Main, Near NIFT, HSR Layout, HSR, Bangalore",50745703670,Christopher Porter,SKU_106,10-02-2023,12.9119545,77.65262969999999
78,78,"1, 328, 27th Main, 21st Cross, Sector 2, HSR, Bangalore",89111417547,Larry Herndon,SKU_48,11-02-2023,12.9092159,77.6487655
79,79,"49, Agara Circle, Near Hanuman Statue, HSR Layout, HSR, Bangalore",56766768595,Elaine Watson,SKU_19,8-02-2023,12.9236427,77.6497211
80,80,"Opposite NIFT College, 2733, 16th Cross, 27th Main Road, PWD Quarters, 1st Sector, HSR Layout, HSR, Bangalore",85469796479,Theodore Bunch,SKU_38,09-02-2023,12.912702,77.652479
81,81,"#2733, 16th Cross, 27th Main, Opppsite NIFT College, Sector 1, HSR, Bangalore",31316164825,Joe Worley,SKU_110,8-02-2023,12.912702,77.652479
82,82,"Next to Grigliato, Sector 1 , HSR Layout, HSR, Bangalore",18227945733,Amber Johnson,SKU_55,10-02-2023,12.9221548,77.64537109999999
83,83,"2606, Ground Floor, The Ambience Building, 16th Cross, 27th Main, Sector 1, HSR, Bangalore",94402524628,Howard Roman,SKU_85,8-02-2023,12.9125829,77.6514055
84,84,"2802, 27th Main Road, Sector 1, HSR, Bangalore",46205581478,Benjamin Smith,SKU_103,11-02-2023,12.9175337,77.65045719999999
85,85,"1562, Sector 1, HSR, Bangalore",22921695090,Charles Trembley,SKU_2,09-02-2023,12.9175337,77.65045719999999
86,86,"2738, 27th Main, Sector 1, HSR, Bangalore",91311238475,Marissa Coram,SKU_28,8-02-2023,12.9175337,77.65045719999999
87,87,"646, 12th Cross, 27th Main, Sector 1, HSR, Bangalore",89040589151,Iva Bell,SKU_20,10-02-2023,12.9163356,77.6521815
88,88,"647, Ground Floor, 27th Main Road, Sector 1, HSR, Bangalore",96874607527,Frances Chai,SKU_110,07-02-2023,12.9175337,77.65045719999999
89,89,"191, First Floor, 27th Main, Sector 2, HSR, Bangalore",17354068059,Clarence Fuller,SKU_69,8-02-2023,12.908942,77.6464534
